crop,state,date,avg_modal_price
bitter gourd,Andaman And Nicobar,2023-07-31,21000.0
bitter gourd,Bihar,2023-07-31,2850.0
bitter gourd,Bihar,2023-08-31,20200.0
bitter gourd,Chattisgarh,2023-07-31,2550.0
bitter gourd,Chattisgarh,2023-08-31,2550.0
bitter gourd,Gujarat,2023-07-31,3113.3333333333335
bitter gourd,Gujarat,2023-08-31,2833.3333333333335
bitter gourd,Gujarat,2025-05-31,3583.3333333333335
bitter gourd,Haryana,2023-07-31,2122.0
bitter gourd,Haryana,2023-08-31,2146.153846153846
bitter gourd,Haryana,2025-05-31,1857.142857142857
bitter gourd,Himachal Pradesh,2023-07-31,3958.695652173913
bitter gourd,Himachal Pradesh,2023-08-31,3666.6666666666665
bitter gourd,Himachal Pradesh,2025-05-31,2868.75
bitter gourd,Jammu And Kashmir,2023-07-31,2250.0
bitter gourd,Jammu And Kashmir,2023-08-31,2375.0
bitter gourd,Jammu And Kashmir,2025-05-31,2175.0
bitter gourd,Karnataka,2023-07-31,2800.0
bitter gourd,Karnataka,2023-08-31,3116.6666666666665
bitter gourd,Kerala,2023-07-31,5706.623376623376
bitter gourd,Kerala,2023-08-31,5530.30303030303
bitter gourd,Kerala,2025-05-31,6471.428571428572
bitter gourd,Madhya Pradesh,2023-07-31,1850.0
bitter gourd,Madhya Pradesh,2023-08-31,1575.0
bitter gourd,Maharashtra,2023-07-31,3209.0384615384614
bitter gourd,Maharashtra,2023-08-31,3197.5
bitter gourd,Meghalaya,2023-08-31,4400.0
bitter gourd,Nagaland,2023-07-31,4983.0
bitter gourd,Nagaland,2023-08-31,4815.0
bitter gourd,Nct Of Delhi,2023-07-31,2500.0
bitter gourd,Nct Of Delhi,2023-08-31,1850.0
bitter gourd,Odisha,2023-07-31,4081.818181818182
bitter gourd,Odisha,2023-08-31,4269.2307692307695
bitter gourd,Odisha,2025-05-31,3475.0
bitter gourd,Punjab,2023-07-31,2522.4137931034484
bitter gourd,Punjab,2023-08-31,2502.095238095238
bitter gourd,Punjab,2025-05-31,1863.6363636363637
bitter gourd,Rajasthan,2023-07-31,1800.0
bitter gourd,Rajasthan,2023-08-31,2500.0
bitter gourd,Rajasthan,2025-05-31,1825.0
bitter gourd,Telangana,2023-07-31,4665.217391304348
bitter gourd,Telangana,2023-08-31,4979.166666666667
bitter gourd,Telangana,2025-05-31,3287.5
bitter gourd,Tripura,2023-07-31,5756.25
bitter gourd,Tripura,2023-08-31,6056.25
bitter gourd,Tripura,2025-05-31,5583.333333333333
bitter gourd,Uttar Pradesh,2023-07-31,2172.463768115942
bitter gourd,Uttar Pradesh,2023-08-31,2230.285714285714
bitter gourd,Uttar Pradesh,2025-05-31,1488.125
bitter gourd,Uttrakhand,2023-07-31,1918.1818181818182
bitter gourd,Uttrakhand,2023-08-31,2357.1428571428573
bitter gourd,Uttrakhand,2025-05-31,1540.0
bitter gourd,West Bengal,2023-07-31,4433.333333333333
bitter gourd,West Bengal,2023-08-31,4090.909090909091
bitter gourd,West Bengal,2025-05-31,2158.3333333333335
black gram (urd beans)(whole),Andhra Pradesh,2023-07-31,8200.0
black gram (urd beans)(whole),Andhra Pradesh,2023-08-31,8030.5
