State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield
Uttar Pradesh,Ballia,2012,Summer,greengram,182.0,148.0,0.8131868131868132
Uttar Pradesh,Ballia,2012,Summer,millet,38.0,53.0,1.394736842105263
Uttar Pradesh,Ballia,2012,Summer,sunflower,37.0,29.0,0.7837837837837838
Uttar Pradesh,Ballia,2012,Summer,blackgram,31.0,21.0,0.6774193548387096
Uttar Pradesh,Ballia,2013,Kharif,pigeonpea,6371.0,4602.0,0.7223355831109716
Uttar Pradesh,Ballia,2013,Kharif,pearl millet,1770.0,2250.0,1.271186440677966
Uttar Pradesh,Ballia,2013,Kharif,dry chillies,98.0,79.0,0.8061224489795918
Uttar Pradesh,Ballia,2013,Kharif,groundnut,242.0,216.0,0.8925619834710744
Uttar Pradesh,Ballia,2013,Kharif,guar seed,23.0,18.0,0.782608695652174
Uttar Pradesh,Ballia,2013,Kharif,sorghum,1749.0,2001.0,1.1440823327615781
Uttar Pradesh,Ballia,2013,Kharif,maize,28043.0,35783.0,1.2760047070570195
Uttar Pradesh,Ballia,2013,Kharif,rice,118000.0,261960.0,2.22
Uttar Pradesh,Ballia,2013,Kharif,millet,8.0,7.0,0.875
Uttar Pradesh,Ballia,2013,Kharif,blackgram,5.0,2.0,0.4
Uttar Pradesh,Ballia,2013,Rabi,barley,3856.0,9668.0,2.5072614107883817
Uttar Pradesh,Ballia,2013,Rabi,coriander,56.0,31.0,0.5535714285714286
Uttar Pradesh,Ballia,2013,Rabi,garlic,105.0,615.0,5.857142857142857
Uttar Pradesh,Ballia,2013,Rabi,gram,3275.0,2613.0,0.7978625954198473
Uttar Pradesh,Ballia,2013,Rabi,maize,3258.0,11576.0,3.553100061387354
Uttar Pradesh,Ballia,2013,Rabi,masoor,17486.0,20319.0,1.162015326546952
Uttar Pradesh,Ballia,2013,Rabi,peas & beans (pulses),2888.0,1643.0,0.5689058171745153
Uttar Pradesh,Ballia,2013,Rabi,rapeseed &mustard,895.0,910.0,1.0167597765363128
Uttar Pradesh,Ballia,2013,Rabi,wheat,137861.0,395888.0,2.871646078296255
Uttar Pradesh,Ballia,2013,Summer,maize,762.0,1400.0,1.837270341207349
Uttar Pradesh,Ballia,2013,Summer,greengram,180.0,120.0,0.6666666666666666
Uttar Pradesh,Ballia,2013,Summer,millet,41.0,57.0,1.3902439024390243
Uttar Pradesh,Ballia,2013,Summer,sunflower,25.0,40.0,1.6
Uttar Pradesh,Ballia,2013,Summer,blackgram,22.0,13.0,0.5909090909090909
Uttar Pradesh,Ballia,2014,Kharif,pigeonpea,5076.0,5578.0,1.098896769109535
Uttar Pradesh,Ballia,2014,Kharif,pearl millet,2012.0,3996.0,1.9860834990059641
Uttar Pradesh,Ballia,2014,Kharif,dry chillies,49.0,40.0,0.8163265306122449
Uttar Pradesh,Ballia,2014,Kharif,groundnut,38.0,33.0,0.868421052631579
Uttar Pradesh,Ballia,2014,Kharif,guar seed,24.0,19.0,0.7916666666666666
Uttar Pradesh,Ballia,2014,Kharif,sorghum,1439.0,1589.0,1.1042390548992356
Uttar Pradesh,Ballia,2014,Kharif,maize,27434.0,40575.0,1.4790041554275717
Uttar Pradesh,Ballia,2014,Kharif,greengram,7.0,2.0,0.2857142857142857
Uttar Pradesh,Ballia,2014,Kharif,rice,122464.0,251908.0,2.056996341782075
Uttar Pradesh,Ballia,2014,Kharif,blackgram,4.0,2.0,0.5
Uttar Pradesh,Ballia,2014,Rabi,barley,4783.0,6417.0,1.3416265941877483
Uttar Pradesh,Ballia,2014,Rabi,coriander,57.0,28.0,0.49122807017543857
Uttar Pradesh,Ballia,2014,Rabi,garlic,98.0,567.0,5.785714285714286
Uttar Pradesh,Ballia,2014,Rabi,gram,1551.0,2200.0,1.4184397163120568
Uttar Pradesh,Ballia,2014,Rabi,maize,3876.0,5783.0,1.4920020639834881
Uttar Pradesh,Ballia,2014,Rabi,masoor,15767.0,14569.0,0.9240185196930297
Uttar Pradesh,Ballia,2014,Rabi,peas & beans (pulses),756.0,544.0,0.7195767195767195
Uttar Pradesh,Ballia,2014,Rabi,rapeseed &mustard,797.0,621.0,0.7791718946047679
Uttar Pradesh,Ballia,2014,Rabi,wheat,141821.0,321804.0,2.269085678425621
Uttar Pradesh,Ballia,2014,Summer,maize,745.0,1325.0,1.778523489932886
Uttar Pradesh,Ballia,2014,Summer,greengram,266.0,179.0,0.6729323308270677
Uttar Pradesh,Ballia,2014,Summer,millet,40.0,38.0,0.95
Uttar Pradesh,Ballia,2014,Summer,sunflower,60.0,103.0,1.7166666666666666
Uttar Pradesh,Ballia,2014,Summer,blackgram,9.0,5.0,0.5555555555555556
Uttar Pradesh,Balrampur,1997,Kharif,pigeonpea,14930.0,8160.0,0.5465505693235098
Uttar Pradesh,Balrampur,1997,Kharif,groundnut,80.0,64.0,0.8
Uttar Pradesh,Balrampur,1997,Kharif,maize,11460.0,9810.0,0.856020942408377
Uttar Pradesh,Balrampur,1997,Kharif,greengram,542.0,156.0,0.2878228782287823
Uttar Pradesh,Balrampur,1997,Kharif,rice,81826.0,160619.0,1.9629335419059957
