District,Zn %,Fe%,Cu %,Mn %,B %,S %
KOKRAJHAR,98.82,99.79,99.97,92.38,0.89,98.5
LAKHIMPUR,94.14,97.49,97.61,89.17,7.87,88.81
MAJULI,52.57,99.89,100.0,93.19,0.17,98.34
MARIGAON,88.15,99.68,99.1,96.26,0.39,96.56
NAGAON,99.68,99.69,98.98,88.74,4.43,99.8
NALBARI,90.4,99.98,100.0,99.91,0.23,99.88
SIVASAGAR,98.84,99.52,99.94,90.47,1.91,98.39
SONITPUR,99.85,99.9,99.97,95.47,0.08,99.92
SOUTH SALMARA MANCACHAR,98.55,99.96,100.0,99.71,0.04,99.96
TINSUKIA,99.93,99.9,99.97,89.28,0.77,99.9
UDALGURI,85.04,99.95,99.88,99.12,2.42,98.74
ARARIA,87.7,89.78,90.04,89.83,0.02,35.91
ARWAL,69.61,77.58,78.21,77.69,0.12,3.92
AURANGABAD,98.48,98.59,99.0,98.54,0.43,0.37
BANKA,0.09,0.12,0.12,0.09,0.15,0.03
BEGUSARAI,86.9,86.13,87.39,87.07,0.03,23.12
BHAGALPUR,0.15,0.0,0.17,0.16,0.16,0.16
